Designator,Mid X,Mid Y,Layer,Rotation
C1,151.540000,-101.187500,top,180.000000
C2,175.990000,-91.009999,top,0.000000
C3,190.100000,-102.600000,top,-90.000000
C4,183.090000,-97.812500,top,0.000000
C5,173.500000,-87.600000,top,180.000000
C6,170.360000,-88.430000,top,135.000000
C7,168.594975,-87.605025,top,-135.000000
C8,169.517991,-89.384975,top,135.000000
C9,168.300000,-91.000000,top,-90.000000
C10,164.890000,-97.797500,top,180.000000
C11,176.469999,-92.490001,top,0.000000
J1,167.820000,-104.497500,top,0.000000
J2,180.270000,-104.490000,top,0.000000
J3,191.800000,-98.700000,top,90.000000
J4,154.420000,-105.930000,top,0.000000
P2,175.970000,-85.800000,top,180.000000
R1,166.600000,-97.100000,top,-90.000000
R2,173.270000,-88.900000,top,180.000000
R3,172.000000,-97.200000,top,180.000000
R4,175.470000,-98.200000,top,0.000000
R5,181.400000,-97.070000,top,-90.000000
U1,172.310000,-92.860000,top,0.000000